Season,PlayerID,PlayerName,Team,GamesPlayed,AtBats,Runs,Hits,HomeRuns,RBIs,StolenBases,Walks,StrikeOuts,BattingAverage,OnBasePercentage,SluggingPercentage,OPS
2010,400284,Chase Utley,Philadelphia Phillies,115.0,425.0,75.0,117,16,65,13,63,63,0.275,0.387,0.445,0.832
2013,400284,Chase Utley,Philadelphia Phillies,131.0,476.0,73.0,135,18,69,8,45,79,0.284,0.348,0.475,0.823
2014,400284,Chase Utley,Philadelphia Phillies,155.0,589.0,74.0,159,11,78,10,53,85,0.27,0.339,0.407,0.746
2016,400284,Chase Utley,Los Angeles Dodgers,138.0,512.0,79.0,129,14,52,2,40,115,0.252,0.319,0.396,0.715
2016,596144,Cheslor Cuthbert,Kansas City Royals,128.0,475.0,49.0,130,12,46,2,32,96,0.274,0.318,0.413,0.731
2000,116706,Chipper Jones,Atlanta Braves,156.0,579.0,118.0,180,36,111,14,95,64,0.311,0.404,0.566,0.97
2001,116706,Chipper Jones,Atlanta Braves,159.0,572.0,113.0,189,38,102,9,98,82,0.33,0.427,0.605,1.032
2002,116706,Chipper Jones,Atlanta Braves,158.0,548.0,90.0,179,26,100,8,107,89,0.327,0.435,0.536,0.971
2003,116706,Chipper Jones,Atlanta Braves,153.0,555.0,103.0,169,27,106,2,94,83,0.305,0.402,0.517,0.919
2004,116706,Chipper Jones,Atlanta Braves,137.0,472.0,69.0,117,30,96,2,84,96,0.248,0.362,0.485,0.847
2007,116706,Chipper Jones,Atlanta Braves,134.0,513.0,108.0,173,29,102,5,82,75,0.337,0.425,0.604,1.029
2008,116706,Chipper Jones,Atlanta Braves,128.0,439.0,82.0,160,22,75,4,90,61,0.364,0.47,0.574,1.044
2009,116706,Chipper Jones,Atlanta Braves,143.0,488.0,80.0,129,18,71,4,101,89,0.264,0.388,0.43,0.818
2011,116706,Chipper Jones,Atlanta Braves,126.0,455.0,56.0,125,18,70,2,51,80,0.275,0.344,0.47,0.814
2004,408210,Chone Figgins,Anaheim Angels,148.0,577.0,83.0,171,5,60,34,49,94,0.296,0.35,0.419,0.769
2005,408210,Chone Figgins,Los Angeles Angels,158.0,642.0,113.0,186,8,57,62,64,101,0.29,0.352,0.397,0.749
2006,408210,Chone Figgins,Los Angeles Angels,155.0,604.0,93.0,161,9,62,52,65,100,0.267,0.336,0.376,0.712
2007,408210,Chone Figgins,Los Angeles Angels,115.0,442.0,81.0,146,3,58,41,51,81,0.33,0.393,0.432,0.825
2008,408210,Chone Figgins,Los Angeles Angels,116.0,453.0,72.0,125,1,22,34,62,80,0.276,0.367,0.318,0.685
2009,408210,Chone Figgins,Los Angeles Angels,158.0,615.0,114.0,183,5,54,42,101,114,0.298,0.395,0.393,0.788
2010,408210,Chone Figgins,Seattle Mariners,161.0,602.0,62.0,156,1,35,42,74,114,0.259,0.34,0.306,0.646
2013,474892,Chris Carter,Houston Astros,148.0,506.0,64.0,113,29,82,2,70,212,0.223,0.32,0.451,0.771
2014,474892,Chris Carter,Houston Astros,145.0,507.0,68.0,115,37,88,5,56,182,0.227,0.308,0.491,0.799
2016,474892,Chris Carter,Milwaukee Brewers,160.0,549.0,84.0,122,41,94,3,76,206,0.222,0.321,0.499,0.82
2009,458085,Chris Coghlan,Florida Marlins,128.0,504.0,84.0,162,9,47,8,53,77,0.321,0.39,0.46,0.85
2015,458085,Chris Coghlan,Chicago Cubs,148.0,440.0,64.0,110,16,41,11,58,94,0.25,0.341,0.443,0.784
2012,448801,Chris Davis,Baltimore Orioles,139.0,515.0,75.0,139,33,85,2,37,169,0.27,0.326,0.501,0.827
2013,448801,Chris Davis,Baltimore Orioles,160.0,584.0,103.0,167,53,138,4,72,199,0.286,0.37,0.634,1.004
2014,448801,Chris Davis,Baltimore Orioles,127.0,450.0,65.0,88,26,72,2,60,173,0.196,0.3,0.404,0.704
2015,448801,Chris Davis,Baltimore Orioles,160.0,573.0,100.0,150,47,117,2,84,208,0.262,0.361,0.562,0.923
2016,448801,Chris Davis,Baltimore Orioles,157.0,566.0,99.0,125,38,84,1,88,219,0.221,0.332,0.459,0.791
2017,448801,Chris Davis,Baltimore Orioles,128.0,456.0,65.0,98,26,61,1,61,195,0.215,0.309,0.423,0.732
2018,448801,Chris Davis,Baltimore Orioles,128.0,470.0,40.0,79,16,49,2,41,192,0.168,0.243,0.296,0.539
2013,456121,Chris Denorfia,San Diego Padres,144.0,473.0,67.0,132,10,47,11,42,84,0.279,0.337,0.395,0.732
2012,453400,Chris Johnson,Arizona Diamondbacks,136.0,488.0,48.0,137,15,76,5,31,132,0.281,0.326,0.451,0.777
2013,453400,Chris Johnson,Atlanta Braves,142.0,514.0,54.0,165,12,68,0,29,116,0.321,0.358,0.457,0.815
2014,453400,Chris Johnson,Atlanta Braves,153.0,582.0,43.0,153,10,58,6,23,159,0.263,0.292,0.361,0.653
2015,572008,Chris Owings,Arizona Diamondbacks,147.0,515.0,59.0,117,4,43,16,26,144,0.227,0.264,0.322,0.586
2001,276537,Chris Richard,Baltimore Orioles,136.0,483.0,74.0,128,15,61,11,45,100,0.265,0.335,0.435,0.77
2000,150334,Chris Singleton,Chicago White Sox,147.0,511.0,83.0,130,11,62,22,35,85,0.254,0.301,0.382,0.683
2002,150334,Chris Singleton,Baltimore Orioles,136.0,466.0,67.0,122,9,50,20,21,83,0.262,0.296,0.41,0.706
2003,122918,Chris Stynes,Colorado Rockies,138.0,443.0,71.0,113,11,73,3,48,76,0.255,0.335,0.413,0.748
2017,621035,Chris Taylor,Los Angeles Dodgers,140.0,514.0,85.0,148,21,72,17,50,142,0.288,0.354,0.496,0.85
2018,621035,Chris Taylor,Los Angeles Dodgers,155.0,536.0,85.0,136,17,63,9,55,178,0.254,0.331,0.444,0.775
2020,621035,Chris Taylor,Los Angeles Dodgers,56.0,185.0,30.0,50,8,32,3,26,55,0.27,0.366,0.476,0.842
2021,621035,Chris Taylor,Los Angeles Dodgers,148.0,507.0,92.0,129,20,73,13,63,167,0.254,0.344,0.438,0.782
2024,13757,Chris Taylor,LAD,,,,43,4,23,5,28,76,0.202,0.298,0.3,0.598
2007,455759,Chris Young,Arizona Diamondbacks,148.0,569.0,85.0,135,32,68,27,43,141,0.237,0.295,0.467,0.762
2008,455759,Chris Young,Arizona Diamondbacks,160.0,625.0,85.0,155,22,85,14,62,165,0.248,0.315,0.443,0.758
2010,455759,Chris Young,Arizona Diamondbacks,156.0,584.0,94.0,150,27,91,28,74,145,0.257,0.341,0.452,0.793
2011,455759,Chris Young,Arizona Diamondbacks,156.0,567.0,89.0,134,20,71,22,80,139,0.236,0.331,0.42,0.751
2024,10028,Christian Bethancourt,- - -,,,,29,5,22,3,5,36,0.209,0.241,0.367,0.608
2024,30011,Christian Encarnacion-Strand,CIN,,,,22,2,16,0,4,35,0.19,0.22,0.293,0.513
2025,30011,Christian Encarnacion-Strand,CIN,,,,9,2,5,0,1,13,0.158,0.183,0.298,0.482
2025,27653,Christian Koss,SFG,,,,14,1,8,0,4,18,0.233,0.292,0.283,0.576
2024,9774,Christian Vazquez,MIN,,,,65,7,27,3,11,65,0.221,0.248,0.327,0.575
2025,9774,Christian Vazquez,MIN,,,,15,1,6,0,7,14,0.205,0.272,0.315,0.587
2019,543877,Christian Vázquez,Boston Red Sox,138.0,482.0,66.0,133,23,72,4,33,101,0.276,0.32,0.477,0.797
2020,543877,Christian Vázquez,Boston Red Sox,47.0,173.0,22.0,49,7,23,4,16,43,0.283,0.344,0.457,0.801
2019,572233,Christian Walker,Arizona Diamondbacks,152.0,529.0,86.0,137,29,73,8,67,155,0.259,0.348,0.476,0.824
2020,572233,Christian Walker,Arizona Diamondbacks,57.0,218.0,35.0,59,7,34,1,19,50,0.271,0.333,0.459,0.792
2022,572233,Christian Walker,Arizona Diamondbacks,160.0,583.0,84.0,141,36,94,2,69,131,0.242,0.327,0.477,0.804
2023,572233,Christian Walker,Arizona Diamondbacks,157.0,582.0,86.0,150,33,103,11,62,127,0.258,0.333,0.497,0.83
2024,13419,Christian Walker,ARI,,,,120,26,84,2,55,133,0.251,0.335,0.468,0.803
2025,13419,Christian Walker,HOU,,,,37,5,20,0,14,57,0.196,0.263,0.328,0.591
2014,592885,Christian Yelich,Miami Marlins,144.0,582.0,94.0,165,9,54,21,70,137,0.284,0.362,0.402,0.764
2015,592885,Christian Yelich,Miami Marlins,126.0,476.0,63.0,143,7,44,16,47,101,0.3,0.366,0.416,0.782
2016,592885,Christian Yelich,Miami Marlins,155.0,578.0,78.0,172,21,98,9,72,138,0.298,0.376,0.483,0.859
2017,592885,Christian Yelich,Miami Marlins,156.0,602.0,100.0,170,18,81,16,80,137,0.282,0.369,0.439,0.808
2018,592885,Christian Yelich,Milwaukee Brewers,147.0,574.0,118.0,187,36,110,22,68,135,0.326,0.402,0.598,1.0
2019,592885,Christian Yelich,Milwaukee Brewers,130.0,489.0,100.0,161,44,97,30,80,118,0.329,0.429,0.671,1.1
2020,592885,Christian Yelich,Milwaukee Brewers,58.0,200.0,39.0,41,12,22,4,46,76,0.205,0.356,0.43,0.786
2022,592885,Christian Yelich,Milwaukee Brewers,154.0,575.0,99.0,145,14,57,19,88,162,0.252,0.355,0.383,0.738
2023,592885,Christian Yelich,Milwaukee Brewers,144.0,550.0,106.0,153,19,76,28,78,140,0.278,0.37,0.447,0.817
2024,11477,Christian Yelich,MIL,,,,85,11,42,21,40,58,0.315,0.406,0.504,0.909
2025,11477,Christian Yelich,MIL,,,,37,9,30,8,23,58,0.199,0.292,0.366,0.658
2024,21897,Christopher Morel,- - -,,,,105,21,60,8,61,159,0.196,0.288,0.346,0.634
2025,21897,Christopher Morel,TBR,,,,24,3,11,3,13,48,0.202,0.286,0.328,0.613
2001,117197,Chuck Knoblauch,New York Yankees,137.0,521.0,66.0,130,9,44,38,58,73,0.25,0.339,0.351,0.69
2024,19824,Chuckie Robinson,CHW,,,,9,0,0,0,5,20,0.129,0.197,0.129,0.326
2001,114260,Cliff Floyd,Florida Marlins,149.0,555.0,123.0,176,31,103,18,59,101,0.317,0.39,0.578,0.968
2005,114260,Cliff Floyd,New York Mets,150.0,550.0,85.0,150,34,98,12,63,98,0.273,0.358,0.505,0.863
2010,460060,Cliff Pennington,Oakland Athletics,156.0,508.0,64.0,127,6,46,29,50,96,0.25,0.319,0.368,0.687
2011,460060,Cliff Pennington,Oakland Athletics,148.0,515.0,57.0,136,8,58,14,42,104,0.264,0.319,0.369,0.688
2006,425549,Clint Barmes,Colorado Rockies,131.0,478.0,57.0,105,7,56,5,22,72,0.22,0.264,0.335,0.599
2009,425549,Clint Barmes,Colorado Rockies,154.0,550.0,69.0,135,23,76,12,31,121,0.245,0.294,0.44,0.734
2004,424825,Coco Crisp,Cleveland Indians,139.0,491.0,78.0,146,15,71,20,36,69,0.297,0.344,0.446,0.79
2005,424825,Coco Crisp,Cleveland Indians,145.0,594.0,86.0,178,16,69,15,44,81,0.3,0.345,0.465,0.81
2007,424825,Coco Crisp,Boston Red Sox,145.0,526.0,85.0,141,6,60,28,50,84,0.268,0.33,0.382,0.712
2011,424825,Coco Crisp,Oakland Athletics,136.0,531.0,69.0,140,8,54,49,41,65,0.264,0.314,0.379,0.693
2012,424825,Coco Crisp,Oakland Athletics,120.0,455.0,68.0,118,11,46,39,45,64,0.259,0.325,0.418,0.743
2013,424825,Coco Crisp,Oakland Athletics,131.0,513.0,93.0,134,22,66,21,61,65,0.261,0.335,0.444,0.779
2014,424825,Coco Crisp,Oakland Athletics,126.0,463.0,68.0,114,9,47,19,66,66,0.246,0.336,0.363,0.699
2017,641355,Cody Bellinger,Los Angeles Dodgers,132.0,480.0,87.0,128,39,97,10,64,146,0.267,0.352,0.581,0.933
2018,641355,Cody Bellinger,Los Angeles Dodgers,162.0,557.0,84.0,145,25,76,14,69,151,0.26,0.343,0.47,0.813
2019,641355,Cody Bellinger,Los Angeles Dodgers,156.0,558.0,121.0,170,47,115,15,95,108,0.305,0.406,0.629,1.035
2020,641355,Cody Bellinger,Los Angeles Dodgers,56.0,213.0,33.0,51,12,30,6,30,42,0.239,0.333,0.455,0.788
2022,641355,Cody Bellinger,Los Angeles Dodgers,144.0,504.0,70.0,106,19,68,14,38,150,0.21,0.265,0.389,0.654
2023,641355,Cody Bellinger,Chicago Cubs,130.0,499.0,95.0,153,26,97,20,40,87,0.307,0.356,0.525,0.881
2024,15998,Cody Bellinger,CHC,,,,137,18,78,9,45,89,0.266,0.325,0.426,0.751
2025,15998,Cody Bellinger,NYY,,,,43,8,29,4,19,37,0.257,0.326,0.461,0.787
2008,425496,Cody Ross,Florida Marlins,145.0,461.0,59.0,120,22,73,6,33,116,0.26,0.316,0.488,0.804
2009,425496,Cody Ross,Florida Marlins,151.0,559.0,73.0,151,24,90,5,34,122,0.27,0.321,0.469,0.79
2010,425496,Cody Ross,San Francisco Giants,153.0,525.0,71.0,141,14,65,9,37,121,0.269,0.322,0.413,0.735
2012,425496,Cody Ross,Boston Red Sox,130.0,476.0,70.0,127,22,81,2,42,129,0.267,0.326,0.481,0.807
2009,458675,Colby Rasmus,St. Louis Cardinals,147.0,474.0,72.0,119,16,52,3,36,95,0.251,0.307,0.407,0.714
2010,458675,Colby Rasmus,St. Louis Cardinals,144.0,464.0,85.0,128,23,66,12,63,148,0.276,0.361,0.498,0.859
2012,458675,Colby Rasmus,Toronto Blue Jays,151.0,565.0,75.0,126,23,75,4,47,149,0.223,0.289,0.4,0.689
2024,17326,Cole Tucker,LAA,,,,9,0,3,3,6,17,0.18,0.263,0.3,0.563
2019,592567,Colin Moran,Pittsburgh Pirates,149.0,466.0,46.0,129,13,80,0,30,117,0.277,0.322,0.429,0.751
2020,592567,Colin Moran,Pittsburgh Pirates,52.0,178.0,28.0,44,10,23,0,19,52,0.247,0.325,0.472,0.797
2024,27899,Colt Keith,DET,,,,134,13,61,7,36,110,0.26,0.309,0.38,0.689
2025,27899,Colt Keith,DET,,,,28,4,13,0,21,32,0.219,0.327,0.359,0.686
2024,29591,Colton Cowser,BAL,,,,121,24,69,9,52,172,0.242,0.321,0.447,0.768
2024,16572,Connor Joe,PIT,,,,83,9,36,2,44,91,0.228,0.32,0.368,0.688
2024,29592,Connor Norby,- - -,,,,42,9,20,3,15,64,0.236,0.294,0.438,0.732
2025,29592,Connor Norby,MIA,,,,29,2,10,4,5,33,0.274,0.319,0.415,0.734
2024,19896,Connor Wong,BOS,,,,125,13,52,8,28,114,0.28,0.333,0.425,0.758
2025,19896,Connor Wong,BOS,,,,7,0,0,1,4,14,0.156,0.24,0.156,0.396
2014,543216,Conor Gillaspie,Chicago White Sox,130.0,464.0,50.0,131,7,57,0,36,78,0.282,0.336,0.416,0.752
2006,433582,Conor Jackson,Arizona Diamondbacks,140.0,485.0,75.0,141,15,79,1,54,73,0.291,0.368,0.441,0.809
2008,433582,Conor Jackson,Arizona Diamondbacks,144.0,540.0,87.0,162,12,75,10,59,61,0.3,0.376,0.446,0.822
2023,682998,Corbin Carroll,Arizona Diamondbacks,155.0,565.0,116.0,161,25,76,54,57,125,0.285,0.362,0.506,0.868
2024,25878,Corbin Carroll,ARI,,,,136,22,74,35,73,130,0.231,0.322,0.428,0.749
2025,25878,Corbin Carroll,ARI,,,,58,15,34,9,20,59,0.271,0.345,0.579,0.924
2016,572816,Corey Dickerson,Tampa Bay Rays,148.0,510.0,57.0,125,24,70,0,33,134,0.245,0.293,0.469,0.762
2017,572816,Corey Dickerson,Tampa Bay Rays,150.0,588.0,84.0,166,27,62,4,35,152,0.282,0.325,0.49,0.815
2018,572816,Corey Dickerson,Pittsburgh Pirates,135.0,504.0,65.0,151,13,55,8,21,80,0.3,0.33,0.474,0.804
2020,572816,Corey Dickerson,Miami Marlins,52.0,194.0,25.0,50,7,17,1,15,35,0.258,0.311,0.402,0.713
2007,430611,Corey Hart,Milwaukee Brewers,140.0,505.0,86.0,149,24,81,23,36,99,0.295,0.353,0.539,0.892
2008,430611,Corey Hart,Milwaukee Brewers,157.0,612.0,76.0,164,20,91,23,27,109,0.268,0.3,0.459,0.759
2010,430611,Corey Hart,Milwaukee Brewers,145.0,558.0,91.0,158,31,102,7,45,140,0.283,0.34,0.525,0.865
2011,430611,Corey Hart,Milwaukee Brewers,130.0,492.0,80.0,140,26,63,7,51,114,0.285,0.356,0.51,0.866
2012,430611,Corey Hart,Milwaukee Brewers,149.0,562.0,91.0,152,30,83,5,44,151,0.27,0.334,0.507,0.841
2024,20311,Corey Julks,CHW,,,,37,3,14,5,15,50,0.214,0.275,0.306,0.581
2000,136731,Corey Koskie,Minnesota Twins,146.0,474.0,79.0,142,9,65,5,77,104,0.3,0.4,0.441,0.841
2001,136731,Corey Koskie,Minnesota Twins,153.0,562.0,100.0,155,26,103,27,68,118,0.276,0.362,0.488,0.85
2002,136731,Corey Koskie,Minnesota Twins,140.0,490.0,71.0,131,15,69,10,72,127,0.267,0.368,0.447,0.815
2003,136731,Corey Koskie,Minnesota Twins,131.0,469.0,76.0,137,14,69,11,77,113,0.292,0.393,0.452,0.845
2002,279913,Corey Patterson,Chicago Cubs,153.0,592.0,71.0,150,14,54,18,19,142,0.253,0.284,0.392,0.676
2004,279913,Corey Patterson,Chicago Cubs,157.0,631.0,91.0,168,24,72,32,45,168,0.266,0.32,0.452,0.772
2007,279913,Corey Patterson,Baltimore Orioles,132.0,461.0,65.0,124,8,45,37,21,65,0.269,0.304,0.386,0.69
2016,608369,Corey Seager,Los Angeles Dodgers,157.0,627.0,105.0,193,26,72,3,54,133,0.308,0.365,0.512,0.877
2017,608369,Corey Seager,Los Angeles Dodgers,145.0,539.0,85.0,159,22,77,4,67,131,0.295,0.375,0.479,0.854
2019,608369,Corey Seager,Los Angeles Dodgers,134.0,489.0,82.0,133,19,87,1,44,98,0.272,0.335,0.483,0.818
2020,608369,Corey Seager,Los Angeles Dodgers,52.0,212.0,38.0,65,15,41,1,17,37,0.307,0.358,0.585,0.943
2022,608369,Corey Seager,Texas Rangers,151.0,593.0,91.0,145,33,83,3,58,103,0.245,0.317,0.455,0.772
2023,608369,Corey Seager,Texas Rangers,119.0,477.0,88.0,156,33,96,2,49,88,0.327,0.39,0.623,1.013
2024,13624,Corey Seager,TEX,,,,132,30,74,1,53,96,0.278,0.353,0.512,0.864
2025,13624,Corey Seager,TEX,,,,30,6,12,0,7,18,0.3,0.346,0.52,0.866
2001,110987,Craig Biggio,Houston Astros,155.0,617.0,118.0,180,20,70,7,66,100,0.292,0.382,0.455,0.837
2002,110987,Craig Biggio,Houston Astros,145.0,577.0,96.0,146,15,58,16,50,111,0.253,0.33,0.404,0.734
2003,110987,Craig Biggio,Houston Astros,153.0,628.0,102.0,166,15,62,8,57,116,0.264,0.35,0.412,0.762
2004,110987,Craig Biggio,Houston Astros,156.0,633.0,100.0,178,24,63,7,40,94,0.281,0.337,0.469,0.806
2005,110987,Craig Biggio,Houston Astros,155.0,590.0,94.0,156,26,69,11,37,90,0.264,0.325,0.468,0.793
2006,110987,Craig Biggio,Houston Astros,145.0,548.0,79.0,135,21,62,3,40,84,0.246,0.306,0.422,0.728
2007,110987,Craig Biggio,Houston Astros,141.0,517.0,68.0,130,10,50,4,23,112,0.251,0.285,0.381,0.666
2001,112736,Craig Counsell,Arizona Diamondbacks,141.0,458.0,76.0,126,4,38,6,61,76,0.275,0.359,0.362,0.721
2004,112736,Craig Counsell,Milwaukee Brewers,140.0,473.0,59.0,114,2,23,17,59,88,0.241,0.33,0.315,0.645
2005,112736,Craig Counsell,Arizona Diamondbacks,150.0,578.0,85.0,148,9,42,26,78,69,0.256,0.35,0.375,0.725
2005,407155,Craig Monroe,Detroit Tigers,157.0,567.0,69.0,157,20,89,8,40,95,0.277,0.322,0.446,0.768
2006,407155,Craig Monroe,Detroit Tigers,147.0,541.0,89.0,138,28,92,2,37,126,0.255,0.301,0.482,0.783
2004,346852,Craig Wilson,Pittsburgh Pirates,155.0,561.0,97.0,148,29,82,2,50,169,0.264,0.354,0.499,0.853
2000,150217,Cristian Guzman,Minnesota Twins,156.0,631.0,89.0,156,8,54,28,46,101,0.247,0.299,0.388,0.687
2001,150217,Cristian Guzman,Minnesota Twins,118.0,493.0,80.0,149,10,51,25,21,78,0.302,0.337,0.477,0.814
2002,150217,Cristian Guzman,Minnesota Twins,148.0,623.0,80.0,170,9,59,12,17,79,0.273,0.292,0.385,0.677
2003,150217,Cristian Guzman,Minnesota Twins,143.0,534.0,78.0,143,3,53,18,30,79,0.268,0.311,0.365,0.676
2004,150217,Cristian Guzman,Minnesota Twins,145.0,576.0,84.0,158,8,46,10,30,64,0.274,0.309,0.384,0.693
2008,150217,Cristian Guzman,Washington Nationals,138.0,579.0,77.0,183,9,55,6,23,57,0.316,0.345,0.44,0.785
2009,150217,Cristian Guzman,Washington Nationals,135.0,531.0,74.0,151,6,52,4,16,75,0.284,0.306,0.39,0.696
2024,19948,Cristian Pache,- - -,,,,33,1,16,1,17,64,0.2,0.273,0.279,0.552
2024,12510,Curt Casali,SFG,,,,21,1,8,0,13,22,0.194,0.293,0.25,0.543
2006,434158,Curtis Granderson,Detroit Tigers,159.0,596.0,90.0,155,19,68,8,66,174,0.26,0.335,0.438,0.773
2007,434158,Curtis Granderson,Detroit Tigers,158.0,612.0,122.0,185,23,74,26,52,141,0.302,0.361,0.552,0.913
2008,434158,Curtis Granderson,Detroit Tigers,141.0,553.0,112.0,155,22,66,12,71,111,0.28,0.365,0.494,0.859
2009,434158,Curtis Granderson,Detroit Tigers,160.0,631.0,91.0,157,30,71,20,72,141,0.249,0.327,0.453,0.78
2010,434158,Curtis Granderson,New York Yankees,136.0,466.0,76.0,115,24,67,12,53,116,0.247,0.324,0.468,0.792
2011,434158,Curtis Granderson,New York Yankees,156.0,583.0,136.0,153,41,119,25,85,169,0.262,0.364,0.552,0.916
2012,434158,Curtis Granderson,New York Yankees,160.0,596.0,102.0,138,43,106,10,75,195,0.232,0.319,0.492,0.811
2014,434158,Curtis Granderson,New York Mets,155.0,564.0,73.0,128,20,66,8,79,141,0.227,0.326,0.388,0.714
2015,434158,Curtis Granderson,New York Mets,157.0,580.0,98.0,150,26,70,11,91,151,0.259,0.364,0.457,0.821
2016,434158,Curtis Granderson,New York Mets,150.0,545.0,88.0,129,30,59,4,74,130,0.237,0.335,0.464,0.799
2017,434158,Curtis Granderson,Los Angeles Dodgers,147.0,449.0,74.0,95,26,64,6,71,123,0.212,0.323,0.452,0.775
2024,23986,Curtis Mead,TBR,,,,29,1,7,2,6,30,0.238,0.282,0.287,0.569
2025,23986,Curtis Mead,TBR,,,,15,2,5,2,5,20,0.211,0.288,0.324,0.611
2016,514917,César Hernández,Philadelphia Phillies,155.0,547.0,67.0,161,6,39,17,66,116,0.294,0.371,0.393,0.764
2017,514917,César Hernández,Philadelphia Phillies,128.0,511.0,85.0,150,9,34,15,61,104,0.294,0.373,0.421,0.794
2018,514917,César Hernández,Philadelphia Phillies,161.0,605.0,91.0,153,15,60,19,95,155,0.253,0.356,0.362,0.718
2019,514917,César Hernández,Philadelphia Phillies,161.0,612.0,77.0,171,14,71,9,45,100,0.279,0.333,0.408,0.741
2020,514917,César Hernández,Cleveland Indians,58.0,233.0,35.0,66,3,20,0,24,57,0.283,0.355,0.408,0.763
2021,514917,César Hernández,Chicago White Sox,149.0,570.0,84.0,132,21,62,1,59,135,0.232,0.308,0.386,0.694
2022,514917,César Hernández,Washington Nationals,147.0,560.0,64.0,139,1,34,10,45,114,0.248,0.311,0.318,0.629
2004,150090,D'Angelo Jimenez,Cincinnati Reds,152.0,563.0,76.0,152,12,67,13,82,99,0.27,0.364,0.394,0.758
2024,17766,D.J. Stewart,NYM,,,,28,5,19,1,31,48,0.177,0.325,0.297,0.622
2014,518934,DJ LeMahieu,Colorado Rockies,149.0,494.0,59.0,132,5,42,10,33,97,0.267,0.315,0.348,0.663
2015,518934,DJ LeMahieu,Colorado Rockies,150.0,564.0,85.0,170,6,61,23,50,107,0.301,0.358,0.388,0.746
2016,518934,DJ LeMahieu,Colorado Rockies,146.0,552.0,104.0,192,11,66,11,66,80,0.348,0.416,0.495,0.911
2017,518934,DJ LeMahieu,Colorado Rockies,155.0,609.0,95.0,189,8,64,6,59,90,0.31,0.374,0.409,0.783
2018,518934,DJ LeMahieu,Colorado Rockies,128.0,533.0,90.0,147,15,62,6,37,82,0.276,0.321,0.428,0.749
2019,518934,DJ LeMahieu,New York Yankees,145.0,602.0,109.0,197,26,102,5,46,90,0.327,0.375,0.518,0.893
2020,518934,DJ LeMahieu,New York Yankees,50.0,195.0,41.0,71,10,27,3,18,21,0.364,0.421,0.59,1.011
2021,518934,DJ LeMahieu,New York Yankees,150.0,597.0,84.0,160,10,57,4,73,94,0.268,0.349,0.362,0.711
2022,518934,DJ LeMahieu,New York Yankees,125.0,467.0,74.0,122,12,46,4,67,71,0.261,0.357,0.377,0.734
2023,518934,DJ LeMahieu,New York Yankees,136.0,497.0,55.0,121,15,44,2,60,125,0.243,0.327,0.39,0.717
2024,9874,DJ LeMahieu,NYY,,,,41,2,26,0,19,35,0.204,0.269,0.259,0.527
2025,24496,DaShawn Keirsey Jr.,MIN,,,,6,1,4,5,1,18,0.113,0.13,0.17,0.299
2024,19779,Dairon Blanco,KCR,,,,31,4,13,31,8,32,0.258,0.308,0.392,0.699
2000,116423,Damian Jackson,San Diego Padres,138.0,470.0,68.0,120,6,37,28,62,108,0.255,0.345,0.377,0.722
2000,113702,Damion Easley,Detroit Tigers,126.0,464.0,76.0,120,14,58,13,55,79,0.259,0.35,0.416,0.766
2001,113702,Damion Easley,Detroit Tigers,154.0,585.0,77.0,146,11,65,10,52,90,0.25,0.323,0.376,0.699
2000,111673,Damon Buford,Chicago Cubs,150.0,495.0,64.0,124,15,48,4,47,118,0.251,0.324,0.39,0.714
2006,462564,Dan Uggla,Florida Marlins,154.0,611.0,105.0,172,27,90,6,48,123,0.282,0.339,0.48,0.819
2007,462564,Dan Uggla,Florida Marlins,159.0,632.0,113.0,155,31,88,2,68,167,0.245,0.326,0.479,0.805
2008,462564,Dan Uggla,Florida Marlins,146.0,531.0,97.0,138,32,92,5,77,171,0.26,0.36,0.514,0.874
2009,462564,Dan Uggla,Florida Marlins,158.0,564.0,84.0,137,31,90,2,92,150,0.243,0.354,0.459,0.813
2010,462564,Dan Uggla,Florida Marlins,159.0,589.0,100.0,169,33,105,4,78,149,0.287,0.369,0.508,0.877
2011,462564,Dan Uggla,Atlanta Braves,161.0,600.0,88.0,140,36,82,1,62,156,0.233,0.311,0.453,0.764
2012,462564,Dan Uggla,Atlanta Braves,154.0,523.0,86.0,115,19,78,4,94,168,0.22,0.348,0.384,0.732
2013,462564,Dan Uggla,Atlanta Braves,136.0,448.0,60.0,80,22,55,2,77,171,0.179,0.309,0.362,0.671
2024,22054,Dane Myers,MIA,,,,25,3,19,4,8,36,0.263,0.333,0.442,0.775
2025,22054,Dane Myers,MIA,,,,28,3,14,7,5,21,0.337,0.375,0.482,0.857
2009,502517,Daniel Murphy,New York Mets,155.0,508.0,60.0,135,12,63,4,38,69,0.266,0.313,0.427,0.74
2012,502517,Daniel Murphy,New York Mets,156.0,571.0,62.0,166,6,65,10,36,82,0.291,0.332,0.403,0.735
2013,502517,Daniel Murphy,New York Mets,161.0,658.0,92.0,188,13,78,23,32,95,0.286,0.319,0.415,0.734
2014,502517,Daniel Murphy,New York Mets,143.0,596.0,79.0,172,9,57,13,39,86,0.289,0.332,0.403,0.735
2015,502517,Daniel Murphy,New York Mets,130.0,499.0,56.0,140,14,73,2,31,38,0.281,0.322,0.449,0.771
2016,502517,Daniel Murphy,Washington Nationals,142.0,531.0,88.0,184,25,104,5,35,57,0.347,0.39,0.595,0.985
