Season,PlayerID,PlayerName,Team,GamesPlayed,AtBats,Runs,Hits,HomeRuns,RBIs,StolenBases,Walks,StrikeOuts,BattingAverage,OnBasePercentage,SluggingPercentage,OPS
2014,444876,Alcides Escobar,Kansas City Royals,162.0,579.0,74.0,165,3,50,31,23,83,0.285,0.317,0.377,0.694
2015,444876,Alcides Escobar,Kansas City Royals,148.0,612.0,76.0,157,3,47,17,26,75,0.257,0.293,0.32,0.613
2016,444876,Alcides Escobar,Kansas City Royals,162.0,637.0,57.0,166,7,55,17,27,96,0.261,0.292,0.35,0.642
2017,444876,Alcides Escobar,Kansas City Royals,162.0,599.0,71.0,150,6,54,4,15,102,0.25,0.272,0.357,0.629
2018,444876,Alcides Escobar,Kansas City Royals,140.0,485.0,54.0,112,4,34,8,29,74,0.231,0.279,0.313,0.592
2022,664761,Alec Bohm,Philadelphia Phillies,152.0,586.0,79.0,164,13,72,2,31,110,0.28,0.315,0.398,0.713
2023,664761,Alec Bohm,Philadelphia Phillies,145.0,558.0,74.0,153,20,97,4,42,94,0.274,0.327,0.437,0.764
2024,21618,Alec Bohm,PHI,,,,155,15,97,5,40,86,0.28,0.332,0.448,0.779
2025,21618,Alec Bohm,PHI,,,,50,3,19,1,8,32,0.269,0.307,0.371,0.678
2024,27615,Alec Burleson,STL,,,,147,21,78,9,35,76,0.269,0.314,0.42,0.735
2025,27615,Alec Burleson,STL,,,,37,4,16,3,10,21,0.285,0.336,0.415,0.751
2012,457477,Alejandro De Aza,Chicago White Sox,131.0,524.0,81.0,147,9,50,26,47,109,0.281,0.349,0.41,0.759
2013,457477,Alejandro De Aza,Chicago White Sox,153.0,607.0,84.0,160,17,62,20,50,147,0.264,0.323,0.405,0.728
2014,457477,Alejandro De Aza,Baltimore Orioles,142.0,477.0,56.0,120,8,41,17,39,119,0.252,0.314,0.386,0.7
2022,672386,Alejandro Kirk,Toronto Blue Jays,139.0,470.0,59.0,134,14,63,0,63,58,0.285,0.372,0.415,0.787
2024,22581,Alejandro Kirk,TOR,,,,86,5,54,0,35,51,0.253,0.319,0.359,0.677
2025,22581,Alejandro Kirk,TOR,,,,41,3,18,0,8,17,0.283,0.323,0.372,0.695
2024,23792,Alek Thomas,ARI,,,,18,3,17,4,7,17,0.189,0.245,0.358,0.603
2025,23792,Alek Thomas,ARI,,,,34,1,15,3,6,33,0.266,0.317,0.375,0.692
2011,488671,Alex Avila,Detroit Tigers,141.0,464.0,63.0,137,19,82,3,73,131,0.295,0.389,0.506,0.895
2017,608324,Alex Bregman,Houston Astros,155.0,556.0,88.0,158,19,71,17,55,97,0.284,0.352,0.475,0.827
2018,608324,Alex Bregman,Houston Astros,157.0,594.0,105.0,170,31,103,10,96,85,0.286,0.394,0.532,0.926
2019,608324,Alex Bregman,Houston Astros,156.0,554.0,122.0,164,41,112,5,119,83,0.296,0.423,0.592,1.015
2022,608324,Alex Bregman,Houston Astros,155.0,548.0,93.0,142,23,93,1,87,77,0.259,0.366,0.454,0.82
2023,608324,Alex Bregman,Houston Astros,161.0,622.0,103.0,163,25,98,3,92,87,0.262,0.363,0.441,0.804
2024,17678,Alex Bregman,HOU,,,,151,26,75,3,44,86,0.26,0.315,0.453,0.768
2025,17678,Alex Bregman,BOS,,,,59,11,35,1,22,42,0.299,0.385,0.553,0.938
2024,19296,Alex Call,WSN,,,,34,3,14,5,12,19,0.343,0.425,0.525,0.95
2025,19296,Alex Call,WSN,,,,27,0,14,1,18,19,0.276,0.393,0.378,0.771
2004,400090,Alex Cintron,Arizona Diamondbacks,154.0,564.0,56.0,148,4,49,3,31,59,0.262,0.301,0.363,0.664
2003,133321,Alex Cora,Los Angeles Dodgers,148.0,477.0,39.0,119,4,34,4,16,59,0.249,0.287,0.338,0.625
2000,114924,Alex Gonzalez,Toronto Blue Jays,141.0,527.0,68.0,133,15,69,4,43,113,0.252,0.313,0.404,0.717
2001,114924,Alex Gonzalez,Toronto Blue Jays,154.0,636.0,79.0,161,17,76,18,43,149,0.253,0.303,0.388,0.691
2001,136460,Alex Gonzalez,Florida Marlins,145.0,515.0,57.0,129,9,48,2,30,107,0.25,0.303,0.377,0.68
2002,114924,Alex Gonzalez,Chicago Cubs,142.0,513.0,58.0,127,18,61,5,46,136,0.248,0.312,0.425,0.737
2003,136460,Alex Gonzalez,Florida Marlins,150.0,528.0,52.0,135,18,77,0,33,106,0.256,0.313,0.443,0.756
2003,114924,Alex Gonzalez,Chicago Cubs,152.0,536.0,71.0,122,20,59,3,47,123,0.228,0.295,0.409,0.704
2004,136460,Alex Gonzalez,Florida Marlins,159.0,561.0,67.0,130,23,79,3,27,126,0.232,0.27,0.419,0.689
2011,136460,Alex Gonzalez,Atlanta Braves,149.0,564.0,59.0,136,15,56,2,22,126,0.241,0.27,0.372,0.642
2007,460086,Alex Gordon,Kansas City Royals,151.0,543.0,60.0,134,15,60,14,41,137,0.247,0.314,0.411,0.725
2008,460086,Alex Gordon,Kansas City Royals,134.0,493.0,72.0,128,16,59,9,66,120,0.26,0.351,0.432,0.783
2011,460086,Alex Gordon,Kansas City Royals,151.0,611.0,101.0,185,23,87,17,67,139,0.303,0.376,0.502,0.878
2012,460086,Alex Gordon,Kansas City Royals,161.0,642.0,93.0,189,14,72,10,73,140,0.294,0.368,0.455,0.823
2013,460086,Alex Gordon,Kansas City Royals,156.0,633.0,90.0,168,20,81,11,52,141,0.265,0.327,0.422,0.749
2014,460086,Alex Gordon,Kansas City Royals,156.0,563.0,87.0,150,19,74,12,65,126,0.266,0.351,0.432,0.783
2016,460086,Alex Gordon,Kansas City Royals,128.0,445.0,62.0,98,17,40,8,52,148,0.22,0.312,0.38,0.692
2017,460086,Alex Gordon,Kansas City Royals,148.0,476.0,52.0,99,9,45,7,45,126,0.208,0.293,0.315,0.608
2018,460086,Alex Gordon,Kansas City Royals,141.0,506.0,56.0,124,13,54,12,50,124,0.245,0.324,0.37,0.694
2019,460086,Alex Gordon,Kansas City Royals,150.0,556.0,77.0,148,13,76,5,51,100,0.266,0.345,0.396,0.741
2024,17276,Alex Jackson,TBR,,,,17,3,12,1,12,53,0.122,0.201,0.237,0.439
2024,20325,Alex Kirilloff,MIN,,,,32,5,20,0,15,47,0.201,0.27,0.384,0.653
