season,numTeams,rank,stat_gamesPlayed,stat_groundOuts,stat_airOuts,stat_runs,stat_doubles,stat_triples,stat_homeRuns,stat_strikeOuts,stat_baseOnBalls,stat_intentionalWalks,stat_hits,stat_hitByPitch,stat_avg,stat_atBats,stat_obp,stat_slg,stat_ops,stat_caughtStealing,stat_stolenBases,stat_stolenBasePercentage,stat_groundIntoDoublePlay,stat_numberOfPitches,stat_plateAppearances,stat_totalBases,stat_rbi,stat_leftOnBase,stat_sacBunts,stat_sacFlies,stat_babip,stat_groundOutsToAirouts,stat_catchersInterference,stat_atBatsPerHomeRun,team_id,team_name,team_link,player_id,player_fullName,player_link,player_firstName,player_lastName,league_id,league_name,league_link,sport_id,sport_link,sport_abbreviation,position_code,position_name,position_type,position_abbreviation
2022,1,31,128,97,160,61,36,0,13,89,50,1,130,6,.278,468,.350,.438,.788,0,3,1.000,13,2144,532,205,81,201,0,8,.313,0.61,0,36.00,119,Los Angeles Dodgers,/api/v1/teams/119,457759,Justin Turner,/api/v1/people/457759,Justin,Turner,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,5,Third Base,Infielder,3B
2022,1,32,162,123,162,99,32,1,25,182,49,0,177,3,.277,640,.329,.447,.776,7,18,.720,12,2751,696,286,96,222,0,4,.348,0.76,0,25.60,144,Atlanta Braves,/api/v1/teams/144,621020,Dansby Swanson,/api/v1/people/621020,Dansby,Swanson,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,6,Shortstop,Infielder,SS
2022,1,33,139,128,123,75,26,5,22,119,41,1,139,12,.276,504,.342,.478,.820,1,21,.955,7,2193,562,241,84,212,0,5,.318,1.04,0,22.91,143,Philadelphia Phillies,/api/v1/teams/143,592663,J.T. Realmuto,/api/v1/people/592663,J.T.,Realmuto,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,2,Catcher,Catcher,C
2022,1,34,160,208,143,90,35,0,32,116,58,6,175,6,.274,638,.339,.480,.819,3,8,.727,26,2596,706,306,97,256,0,4,.289,1.45,0,19.94,141,Toronto Blue Jays,/api/v1/teams/141,665489,Vladimir Guerrero Jr.,/api/v1/people/665489,Vladimir,Guerrero,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B
2022,1,35,151,167,144,102,30,7,16,116,71,0,159,16,.274,580,.367,.433,.800,2,3,.600,9,2781,673,251,64,165,3,3,.317,1.16,0,36.25,121,New York Mets,/api/v1/teams/121,607043,Brandon Nimmo,/api/v1/people/607043,Brandon,Nimmo,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,8,Outfielder,Outfielder,CF
2022,1,36,140,163,148,65,27,1,20,94,35,3,151,21,.274,551,.338,.436,.774,0,0,.---,18,2211,613,240,83,218,0,5,.296,1.10,1,27.55,136,Seattle Mariners,/api/v1/teams/136,664034,Ty France,/api/v1/people/664034,Ty,France,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B
2022,1,37,139,114,133,76,43,1,16,145,52,1,146,5,.274,533,.341,.448,.789,0,0,.---,20,2389,596,239,62,272,0,5,.345,0.86,1,33.31,111,Boston Red Sox,/api/v1/teams/111,502110,J.D. Martinez,/api/v1/people/502110,J.D.,Martinez,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,10,Designated Hitter,Hitter,DH
2022,1,38,159,136,147,90,39,2,38,168,57,1,168,17,.273,615,.349,.528,.877,0,2,1.000,13,2641,693,325,93,269,0,4,.315,0.93,0,16.18,144,Atlanta Braves,/api/v1/teams/144,663586,Austin Riley,/api/v1/people/663586,Austin,Riley,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,5,Third Base,Infielder,3B
2022,1,39,157,136,132,90,30,6,34,161,72,14,160,5,.273,586,.356,.519,.875,9,11,.550,6,2546,666,304,95,196,0,3,.320,1.03,0,17.24,108,Los Angeles Angels,/api/v1/teams/108,660271,Shohei Ohtani,/api/v1/people/660271,Shohei,Ohtani,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,10,Designated Hitter,Hitter,DH
2022,1,40,160,133,183,95,27,0,40,128,67,16,162,12,.271,597,.352,.518,.870,1,5,.833,17,2507,685,309,131,286,0,9,.279,0.73,0,14.92,121,New York Mets,/api/v1/teams/121,624413,Pete Alonso,/api/v1/people/624413,Pete,Alonso,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B
